Date,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19
3/2/2018,100,76,71,33,31,64,8,86,78,8,68,49,7,12,45,39,44,13,48
3/3/2018,100,74,69,34,32,66,8,86,78,8,67,53,7,15,50,59,95,16,72
3/4/2018,93,72,68,37,35,74,9,86,88,9,67,60,8,16,49,62,61,18,76
3/5/2018,78,70,66,34,32,87,10,85,99,10,67,74,10,11,48,52,48,17,63
3/6/2018,77,75,72,32,31,87,10,84,102,11,67,72,10,11,45,61,47,17,75
3/7/2018,78,71,68,35,34,92,11,83,112,12,66,72,10,15,52,71,44,17,74
3/8/2018,93,69,68,39,40,92,11,84,114,12,67,70,10,15,55,71,50,18,81
3/9/2018,103,69,67,34,34,97,11,85,114,12,66,80,11,13,54,69,45,20,89
3/10/2018,108,69,68,33,33,87,10,84,105,11,67,69,9,14,48,70,53,21,79
3/11/2018,102,67,64,35,34,87,10,84,107,11,67,67,9,11,56,76,44,22,83
3/12/2018,104,71,66,40,40,90,11,85,106,11,68,74,10,10,58,78,61,22,82
3/13/2018,160,69,66,33,34,90,11,86,107,11,67,72,10,9,58,71,43,20,69
3/14/2018,106,74,69,31,32,85,10,86,101,11,68,69,9,8,52,51,35,17,51
3/15/2018,107,69,66,34,34,79,9,86,95,10,69,62,8,8,57,57,78,16,63
3/16/2018,117,71,68,41,41,82,9,88,98,10,70,65,9,10,54,67,75,20,72
3/17/2018,107,74,71,34,33,85,10,88,98,10,70,73,9,8,49,61,54,19,64
3/18/2018,80,77,74,32,32,74,8,89,88,9,71,60,8,6,48,62,63,19,74
3/19/2018,102,74,71,34,34,68,8,90,82,8,72,54,7,9,49,62,42,20,74
3/20/2018,122,75,70,39,41,68,8,92,79,8,74,56,7,6,52,65,55,21,79
3/21/2018,91,72,69,35,37,64,7,93,71,7,73,56,7,5,48,64,52,21,83
3/22/2018,117,75,71,31,31,57,6,94,62,6,74,51,7,5,43,56,46,21,71
3/23/2018,99,75,73,35,35,55,6,94,62,6,75,47,6,6,49,63,48,23,80
3/24/2018,108,73,68,36,37,59,6,96,64,6,76,53,7,6,50,62,54,23,72
3/25/2018,178,73,70,32,33,62,7,96,68,7,77,55,7,6,48,65,64,19,65
3/26/2018,106,78,75,33,34,57,6,96,60,6,78,53,6,7,41,47,39,20,51
3/27/2018,107,75,71,34,35,59,6,96,65,6,79,53,6,5,49,52,74,18,59
3/28/2018,117,76,73,40,42,58,6,97,67,6,79,48,6,5,52,60,37,19,65
3/29/2018,88,73,70,33,33,66,7,97,69,7,78,62,7,5,51,59,42,22,66
3/30/2018,72,86,79,35,34,63,7,96,70,7,78,56,7,3,47,58,50,20,70
3/31/2018,88,81,77,34,34,64,7,96,71,7,78,57,7,7,53,57,51,17,66
4/1/2018,100,81,77,39,40,65,7,97,74,7,79,55,7,4,53,63,38,21,85
4/2/2018,99,83,78,36,34,74,8,97,79,8,78,67,8,6,50,60,37,24,83
4/3/2018,123,79,78,33,33,74,8,95,80,8,78,66,8,2,48,60,40,21,81
4/4/2018,136,86,81,36,36,71,8,94,82,8,79,59,7,4,48,64,38,23,81
4/5/2018,129,83,79,41,42,74,8,96,82,8,79,65,8,6,52,72,43,23,77
4/6/2018,176,83,75,35,35,75,8,96,85,8,80,64,7,2,47,58,48,21,73
4/7/2018,115,81,75,33,33,69,7,95,78,8,80,60,7,5,42,42,37,19,54
4/8/2018,111,80,74,35,35,65,7,96,74,7,80,54,6,1,53,48,66,18,60
4/9/2018,126,83,80,40,40,60,6,98,67,6,82,53,6,4,58,59,31,19,73
4/10/2018,100,77,75,36,37,66,7,98,71,7,81,60,7,4,54,53,31,20,66
4/11/2018,80,88,82,33,32,60,6,97,65,6,80,54,6,5,54,56,26,20,74
4/12/2018,95,81,75,35,35,56,6,98,65,6,82,48,5,5,63,59,28,19,75
4/13/2018,104,81,78,40,40,55,6,100,63,6,84,47,5,5,63,63,27,21,84
4/14/2018,100,80,74,34,35,56,6,100,61,6,83,52,6,4,64,56,26,20,77
4/15/2018,147,84,79,36,36,52,5,99,58,6,84,46,5,4,61,64,33,22,84
4/16/2018,108,77,74,36,37,51,5,100,55,5,84,47,5,4,69,66,30,22,84
4/17/2018,104,80,76,41,42,54,5,102,59,6,87,48,5,3,67,63,25,21,83
4/18/2018,189,75,71,36,37,57,6,104,60,6,86,54,6,5,63,60,27,22,79
4/19/2018,120,80,77,35,34,52,5,103,53,5,87,51,6,3,60,52,18,20,60
4/20/2018,114,78,75,37,36,54,5,103,58,5,87,50,5,3,73,52,22,17,69
4/21/2018,138,76,73,41,43,50,5,105,53,5,89,47,5,4,67,64,26,20,88
4/22/2018,132,78,75,37,37,55,5,105,55,5,88,54,6,3,73,59,24,23,80
