Date,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
Week-1,5938,13831,12,15,1.957,15.2,608,18.11,26.42,25.9,852,2203,126.4,40,329,2,102,5.61,402.8,2.21,3958.043,183.1,86.678,319.32,78,20.7,6315.937
Week-2,6925,23271,20.5,16,1.979,16.9,617,21.07,24.11,25.4,1806,2360,82.4,115,349,9,124,5.16,421.3,2.29,3369.694,183.9,157.102,320.36,159,17.9,6015.683
Week-3,4353,9756,21,18,2.012,15.3,625,15.77,23.63,24.9,1356,2254,78.1,100,323,6,117,4.63,431.2,2.82,3485.242,163.1,104.829,320.82,29,18.8,4525.167
Week-4,6855,7899,15.5,27,2.045,14.9,636,24.17,24.13,24,1233,2165,51.1,80,324,6,115,5.05,426.2,2.03,3437.691,179.5,70.084,322.06,104,14.6,5361.574
Week-5,6216,15778,15.3,21,2.056,15.7,657,14.71,24.58,24.5,1590,2024,90.9,60,333,9,119,4.95,425.5,2.32,3702.352,181.4,66.12,322.17,82,15.8,4267.812
Week-6,7061,25362,23.5,49,2.068,15.1,691,22.54,27.26,23,1273,2078,76.2,40,335,6,120,4.71,423.6,1.88,3817.61,173.4,148.89,321.95,148,15.8,5854.839
Week-7,4417,11618,24.5,21,2.056,16.7,728,25.79,27.28,22.7,1770,2214,104.5,23,321,6,126,4.46,435.7,1.78,2875.578,167.6,355.66,321.2,28,15.8,5865.558
Week-8,7505,8553,21.3,22,2.043,16.3,784,16.94,27.67,22.1,1734,2292,87.4,10,290,1,132,4.65,445.2,2.64,3054.686,177.4,691.781,318.81,256,17.4,7050.468
Week-9,6778,17512,23.5,28,2.029,16.5,816,12.99,28.5,22.2,1457,2207,110.5,10,295,1,135,4.89,450.1,1.82,4724.15,171.7,728.876,317.82,355,21.8,6015.683
Week-10,8169,29409,28,36,1.998,13.3,876,24.68,28.19,22.9,1357,2119,25,25,297,5.6,139,5.06,450.1,1.74,3834.007,170.1,216.652,317.37,49,20,5945.988
