DATE,POTATO,ONION,CARROT,BRINJAL,TOMATO,BITTERGOURD,RADDISH,CAULIFLOWER,BEANS,DRUMSTICK,COCONUT,CAPSICUM,,
1-Jun,185,65,25,75,175,40,35,10,25,15,105,30,,
2-Jun,185,35,25,55,195,25,35,10,25,10,95,35,,
3-Jun,225,45,20,50,150,20,35,15,25,15,110,35,,
4-Jun,240,30,20,45,155,10,30,10,25,20,115,35,,
5-Jun,260,45,25,60,180,10,35,10,25,20,110,35,,
6-Jun,175,40,35,85,215,15,35,15,25,15,100,35,,
7-Jun,175,60,55,115,165,25,45,10,25,35,115,35,,
8-Jun,200,55,85,170,115,40,50,10,25,50,120,35,,
9-Jun,215,50,115,90,105,55,50,10,25,30,120,25,,
10-Jun,260,30,120,95,95,70,50,10,25,30,115,35,,
11-Jun,195,85,80,110,105,75,45,15,25,35,115,35,,
12-Jun,195,45,85,85,125,60,55,15,25,25,135,35,,
13-Jun,220,50,65,95,110,50,55,15,25,35,130,35,,
14-Jun,235,35,55,100,125,30,55,10,25,40,120,40,,
15-Jun,280,55,35,125,125,25,50,15,25,40,130,40,,
16-Jun,225,40,60,95,110,20,55,15,25,65,130,40,,
17-Jun,235,25,35,120,105,20,60,10,25,80,105,40,,
18-Jun,265,20,55,130,120,25,60,15,25,110,85,40,,
19-Jun,275,10,70,145,125,40,50,10,25,90,110,40,,
20-Jun,320,10,110,120,115,40,65,15,25,95,115,35,,
21-Jun,260,15,140,135,105,70,65,15,25,60,110,30,,
22-Jun,275,25,155,145,130,85,65,15,25,60,105,35,,
23-Jun,300,40,115,170,140,95,60,10,25,75,125,40,,
24-Jun,320,55,130,140,135,50,65,15,30,60,135,35,,
25-Jun,365,70,100,155,130,55,75,15,25,60,135,35,,
26-Jun,275,30,110,45,145,25,70,15,30,60,115,35,,
27-Jun,305,30,125,50,145,25,60,15,30,50,130,35,,
28-Jun,330,30,125,35,130,20,65,15,30,90,130,35,,
29-Jun,355,30,110,55,120,20,65,20,30,90,120,35,,
30-Jun,410,35,105,70,130,25,60,15,30,100,105,35,,
1-Jul,290,35,120,50,125,35,55,15,30,140,120,35,,
2-Jul,325,35,125,70,115,55,65,15,30,95,120,35,,
3-Jul,325,35,115,55,95,85,70,20,30,105,120,25,,
4-Jul,370,35,105,75,110,115,65,20,30,125,115,35,,
5-Jul,405,35,130,70,105,120,60,15,30,100,130,30,,
6-Jul,305,35,140,105,110,80,65,15,30,80,145,35,,
7-Jul,335,35,135,65,95,85,75,15,30,55,140,35,,
8-Jul,360,35,130,85,105,65,80,15,30,50,130,35,,
9-Jul,390,35,145,85,115,55,75,20,30,40,140,35,,
10-Jul,400,35,145,110,105,35,80,15,30,110,145,40,,
11-Jul,300,35,130,80,100,60,85,15,30,170,140,40,,
12-Jul,335,35,120,110,115,35,85,20,30,220,130,40,,
13-Jul,370,35,130,100,120,55,75,20,30,140,145,40,,
14-Jul,400,35,125,110,110,70,85,25,30,155,145,40,,
15-Jul,380,35,115,145,105,110,90,20,30,155,145,30,,
16-Jul,285,35,95,100,120,140,85,20,30,165,125,40,,
17-Jul,325,35,110,170,125,155,75,20,30,125,140,40,,
18-Jul,365,35,105,120,115,115,90,20,30,85,130,40,,
19-Jul,400,35,110,145,135,130,90,20,30,100,105,40,,5
20-Jul,355,35,85,160,130,100,85,15,30,145,75,40,,
21-Jul,245,35,85,130,120,75,80,20,30,100,100,40,,
22-Jul,265,30,75,120,130,55,90,15,30,175,105,45,,
23-Jul,295,35,85,130,130,50,90,15,30,210,105,40,,
24-Jul,350,35,90,130,105,45,90,20,30,305,100,45,,
25-Jul,280,35,85,105,85,60,85,20,30,280,115,45,,
26-Jul,195,35,75,85,110,85,95,20,30,305,120,40,,
27-Jul,225,35,90,110,115,115,100,20,30,190,120,30,,
28-Jul,255,30,90,115,110,170,100,25,30,210,110,45,,
29-Jul,300,35,85,110,105,180,95,20,30,305,125,45,,
30-Jul,255,35,80,105,125,155,105,20,30,235,135,45,,
